groupname;#hashtag1;#hashtag2;#hashtag3;#hashtag4;#hashtag5;#hashtag6;#hashtag7;#hashtag8;#hashtag9;#hashtag10
C;3;4;6;9;12;16;16;13;13;8
C;3;2;5;11;14;15;16;11;14;9
C;3;2;5;8;19;14;13;17;15;4
C;2;4;5;13;11;14;12;21;13;5
C;2;6;4;8;15;14;13;17;12;9
C;2;2;7;10;11;11;18;13;14;12
B;12;3;5;19;15;14;12;9;7;4
B;5;13;12;10;15;14;15;9;3;4
A;17;11;12;14;15;9;8;6;6;2
A;14;19;17;10;16;8;11;3;1;1
B;7;10;13;8;15;13;15;7;8;4
B;10;13;12;10;17;15;8;7;5;3
C;4;5;8;11;15;12;11;11;9;14
B;7;9;12;11;19;16;13;7;5;1
A;8;16;15;12;15;15;6;7;3;3
A;18;14;8;13;14;13;9;6;2;3
C;2;6;11;16;13;12;9;13;8;10
A;15;14;15;17;15;9;4;5;4;2
B;6;10;12;15;16;14;11;6;5;5
C;1;6;8;7;12;22;16;11;8;9
C;2;4;7;8;16;15;14;13;8;13
B;3;8;5;11;12;15;20;11;7;8
C;3;6;5;7;12;13;15;12;16;11
C;1;2;6;4;14;13;15;14;20;11
C;2;5;7;7;10;16;15;15;13;10
C;2;7;10;10;8;11;17;12;13;10
B;7;9;13;11;10;19;9;11;8;3
A;15;18;11;15;16;12;9;1;1;2
C;1;4;6;10;11;15;18;18;9;8
C;1;3;7;11;16;20;12;10;10;10
C;5;7;8;16;5;11;16;14;7;11
A;13;14;17;12;17;13;5;5;4;0
C;1;8;11;13;11;9;13;10;12;12
C;3;3;3;9;10;14;15;23;13;7
B;4;15;13;15;10;7;15;9;9;3
A;11;16;17;11;16;5;13;6;3;2
A;17;11;20;20;11;10;5;3;2;1
B;7;11;11;8;10;21;12;10;7;3
A;14;18;18;14;17;8;4;4;1;2
A;13;14;18;18;9;8;8;6;5;1
B;10;8;5;16;16;13;13;6;9;4
C;2;10;3;3;20;9;22;13;12;6
C;1;1;5;8;9;25;11;16;16;8
C;3;3;6;15;9;17;10;17;14;6
C;1;2;5;11;11;16;16;14;12;12
A;15;18;23;15;11;8;2;4;4;0
C;0;2;7;10;10;16;13;22;12;8
C;0;4;5;3;13;13;17;14;11;20
B;5;9;14;16;17;13;7;9;6;4
C;5;2;7;9;14;15;15;9;12;12
B;3;11;14;16;17;16;11;4;7;1
A;13;22;16;13;10;13;5;5;2;1
B;11;11;9;11;11;13;13;11;6;4
A;9;12;14;18;26;8;9;2;1;1
C;2;4;6;11;17;8;13;16;16;7
B;13;6;16;15;14;11;11;7;5;2
C;2;4;12;10;9;20;15;9;8;11
B;5;8;11;17;15;13;8;12;7;4
C;4;6;6;9;10;18;14;11;9;13
C;4;3;5;6;10;17;15;18;10;12
C;4;4;5;7;12;12;13;18;15;10
C;5;4;7;9;16;10;7;14;21;7
B;6;6;7;15;13;14;14;11;8;6
C;1;3;7;15;18;10;12;12;12;10
C;2;6;4;10;11;16;8;19;11;13
A;14;14;20;21;9;7;7;3;5;0
A;15;13;14;16;13;6;11;8;1;3
C;2;3;4;13;11;16;6;20;15;10
C;1;6;8;8;6;15;17;12;13;14
B;4;10;11;10;15;10;20;5;7;8
A;16;11;19;18;12;5;7;7;5;0
B;7;4;16;15;18;13;11;8;6;2
C;2;4;1;15;15;15;11;12;12;13
A;14;13;20;13;13;11;9;4;1;2
C;0;7;8;9;8;9;17;22;13;7
A;12;17;25;14;12;6;4;3;6;1
C;4;4;6;10;10;11;19;10;15;11
A;11;11;19;21;13;7;5;8;3;2
A;7;15;20;17;12;4;15;6;2;2
C;0;4;4;9;15;11;21;14;9;13
B;4;7;15;18;16;7;17;7;6;3
C;2;2;8;11;7;13;23;12;13;9
C;2;4;6;13;9;16;14;20;12;4
B;3;11;14;17;16;13;8;9;4;5
C;4;2;13;9;14;7;15;16;12;8
B;7;12;10;15;11;11;13;11;7;3
A;18;15;22;10;12;12;6;2;2;1
A;13;15;22;11;13;10;4;8;3;1
B;10;6;8;19;13;14;7;14;5;4
A;9;13;19;12;23;9;7;6;2;0
C;5;8;3;5;11;19;14;15;15;5
A;13;13;16;24;16;9;4;2;3;0
C;1;6;8;13;10;10;20;12;9;11
A;16;11;14;13;15;11;10;2;5;3
C;1;3;5;9;12;17;12;14;19;8
B;5;10;14;11;17;16;13;5;5;4
A;17;11;8;20;13;14;9;6;2;0
B;9;8;14;11;19;16;7;6;4;6
B;5;11;9;17;19;7;8;13;9;2
A;14;18;16;9;16;10;8;6;2;1
A;11;25;10;11;11;11;12;5;2;2
B;2;9;10;25;16;10;14;7;6;1
B;6;10;9;12;18;10;12;14;7;2
C;4;3;5;10;16;16;19;9;13;5
A;15;18;22;13;12;10;5;3;2;0
B;5;10;14;12;16;12;14;8;6;3
B;7;10;13;13;13;13;12;6;4;9
