groupname;#hashtag1;#hashtag2;#hashtag3;#hashtag4;#hashtag5;#hashtag6;#hashtag7;#hashtag8;#hashtag9;#hashtag10
A;8;15;13;13;16;12;3;11;6;3
A;7;5;6;9;13;9;11;15;14;11
A;11;20;14;15;16;5;7;6;4;2
B;9;9;6;10;14;10;17;11;7;7
A;12;14;15;10;8;16;9;9;4;3
A;14;15;13;13;16;7;7;5;6;4
B;4;8;15;11;17;13;11;8;7;6
A;11;16;15;9;12;10;11;6;6;4
A;14;17;14;12;10;7;11;6;6;3
A;4;5;8;10;15;19;13;7;13;6
A;6;6;10;12;10;13;10;14;10;9
A;4;9;9;12;9;15;13;11;11;7
A;6;6;8;14;11;15;11;13;11;5
A;2;9;5;11;8;16;19;15;6;9
B;9;11;9;12;15;9;11;8;8;8
A;3;11;8;10;10;15;12;14;11;6
A;17;3;12;13;18;14;9;6;5;3
B;7;10;13;13;11;16;12;4;8;6
B;8;7;10;16;10;12;12;12;8;5
B;3;8;8;12;19;11;12;12;7;8
A;1;6;4;10;14;16;6;17;15;11
B;3;7;13;13;12;10;12;9;15;6
B;7;5;19;15;6;9;14;7;7;11
B;11;8;12;9;10;12;8;10;13;7
A;9;15;12;19;14;11;8;5;5;2
B;10;17;12;11;7;13;12;5;7;6
A;3;4;6;9;10;8;22;10;13;15
A;3;7;10;6;13;13;11;10;15;12
A;2;6;7;11;10;14;17;11;12;10
B;9;9;14;7;19;11;9;12;7;3
A;2;2;4;6;19;15;18;11;16;7
A;7;18;14;16;12;11;8;5;7;2
A;15;12;14;12;10;9;14;11;1;2
A;14;12;19;9;18;9;8;3;3;5
B;9;9;14;14;9;14;8;14;2;7
A;2;8;7;12;9;11;10;14;15;12
A;9;14;12;16;14;7;14;4;5;5
A;5;7;10;8;15;10;17;14;9;5
B;3;10;8;17;13;15;7;7;12;8
A;11;14;14;15;8;13;3;10;7;5
A;17;13;14;9;11;13;7;9;3;4
B;4;9;15;9;12;15;11;12;8;5
A;9;17;15;12;15;6;4;12;8;2
B;9;10;11;12;10;13;14;11;8;2
A;10;10;15;13;9;11;10;8;9;5
A;14;13;15;18;13;13;2;5;3;4
A;11;14;15;8;18;12;14;3;1;4
B;9;9;9;18;10;14;9;7;8;7
B;13;12;10;9;13;12;11;7;7;6
B;8;11;16;14;6;15;8;11;5;6
B;12;9;11;11;10;9;9;5;14;10
A;9;14;15;13;9;11;8;8;6;7
B;4;10;14;15;11;15;12;8;5;6
B;7;7;11;10;17;13;15;7;6;7
B;9;9;14;17;9;8;10;8;8;8
A;12;11;11;16;14;10;8;5;7;6
A;11;9;9;12;6;10;12;7;13;11
A;5;6;11;6;8;13;14;13;14;10
B;8;13;10;9;8;12;14;8;9;9
A;12;16;12;13;8;12;11;2;7;7
B;4;10;12;9;13;9;10;11;13;9
A;3;3;6;13;12;13;15;12;10;13
B;7;11;8;13;9;9;13;8;13;9
A;11;17;17;9;12;3;13;10;3;5
B;6;10;9;12;9;16;12;10;7;9
A;11;14;16;11;11;8;5;10;9;5
B;9;10;13;9;6;13;13;12;11;4
A;5;7;10;6;15;13;11;11;13;9
A;7;6;6;14;7;12;13;11;12;12
A;6;9;8;16;15;10;10;12;5;9
A;5;6;13;10;7;18;14;9;11;7
A;19;13;11;20;8;9;8;5;5;2
A;6;4;9;10;11;13;14;12;9;12
A;6;6;8;14;14;12;6;7;14;13
B;6;7;8;10;14;13;15;15;7;5
A;4;7;10;7;12;12;17;16;9;6
A;9;8;4;9;15;13;14;10;9;9
A;18;7;14;13;15;9;8;10;1;5
A;4;6;10;12;11;11;14;12;11;9
B;11;11;13;13;9;12;6;12;10;3
A;18;17;14;8;10;9;11;4;5;4
B;9;12;16;13;9;9;6;8;6;12
A;8;17;21;10;10;10;10;8;1;5
B;13;9;11;14;11;13;11;6;7;5
B;9;5;8;11;20;11;11;10;9;6
